matchID,allyTeamDmg,enemyTeamDmg,win
EUW1_5466880687,448789,627500,0
EUW1_5465204570,284761,198275,1
EUW1_5465109534,651482,535157,1
EUW1_5465107867,69066,23290,1
EUW1_5465123049,437777,404624,1
EUW1_5464243171,466499,703575,0
EUW1_5464207930,533802,585344,0
EUW1_5464223099,558351,375680,1
EUW1_5464141416,294202,405945,0
EUW1_5463980815,573874,584205,1
EUW1_5463896320,330829,429904,0
EUW1_5457071139,668264,870678,0
EUW1_5456976490,678324,711937,0
EUW1_5457012085,488439,773130,0
EUW1_5448165155,758533,470055,1
EUW1_5446262958,681917,670277,0
EUW1_5445957935,435672,587127,0
EUW1_5446021799,393932,494179,0
EUW1_5444665350,531405,513226,0
EUW1_5444630854,427385,349793,1
EUW1_5444534728,625104,582723,1
EUW1_5444195359,252975,197830,1
EUW1_5444190795,629362,634345,1
EUW1_5440786398,1116822,1005619,1
EUW1_5433618356,697642,841364,0
EUW1_5433593223,608295,613855,0
EUW1_5431188972,1057284,985905,1
EUW1_5430741935,654532,515009,1
EUW1_5430678339,268540,295823,0
EUW1_5430664883,324946,416139,0
EUW1_5424883181,437625,518604,0
EUW1_5424810123,258075,149037,1
EUW1_5424824160,636809,659000,0
EUW1_5424740000,253540,412259,0
EUW1_5423191692,260459,189467,1
EUW1_5423104647,740437,755473,0
EUW1_5423072136,361585,381424,0
EUW1_5421968286,522200,577670,0
EUW1_5422003051,566900,406295,1
EUW1_5421236965,583363,438680,1
EUW1_5421281506,340684,408412,0
EUW1_5420680264,693825,615330,1
EUW1_5420664142,980071,1071411,0
EUW1_5420322614,344480,444156,0
EUW1_5420018899,427811,369724,1
EUW1_5419747637,454154,655777,0
EUW1_5419576253,841503,791976,0
EUW1_5415626876,1174541,1071519,1
EUW1_5415599874,669938,492893,1
EUW1_5415490777,485188,403122,1
EUW1_5410730354,655373,513226,1
EUW1_5406955859,24895,17548,1
EUW1_5406888204,724170,783604,0
EUW1_5406752015,716884,522582,1
EUW1_5404990080,508037,521838,0
EUW1_5404963971,710519,619919,0
EUW1_5403317053,18390,14641,1
EUW1_5402576656,1094897,1116411,1
EUW1_5401927985,620823,471736,1
EUW1_5401203291,820158,708470,1
EUW1_5401086553,560698,617404,0
EUW1_5400441813,901907,816260,1
EUW1_5400394687,658654,406967,1
EUW1_5399800601,521384,370936,1
EUW1_5399538721,547438,420630,1
EUW1_5399308408,663047,446016,1
EUW1_5399235251,521402,336825,1
EUW1_5398440241,679898,758796,0
EUW1_5397658277,900761,895675,1
EUW1_5393090627,842733,692757,1
EUW1_5392877519,301802,371356,0
EUW1_5392286291,415095,531049,0
EUW1_5392190153,749113,744059,1
EUW1_5391654388,456489,320202,1
EUW1_5391619016,322012,480632,0
EUW1_5389333919,249564,404532,0
EUW1_5389210172,341762,195529,1
EUW1_5389132822,783690,805484,0
EUW1_5388635248,1304754,989944,1
EUW1_5388641358,318203,448289,0
